source	cyrillic	diplomatic	lemma	PoS_tag	PoS_ext	sent_id	UD_id	UD_ncy	UD_type	UD_ext	translation
не	ne	ne	не	Qz		53	1	2	advmod		He didn't want to work.
сакал	sakal	saka	сака	Vap--si	Amsn	53	2	4	aux		
да	da	da	да	C		53	3	4	fixed	inf	
работит	rabotit	raboti	работи	Vmip3si		53	4	0	root		
,	,	,	,	Z		53	5	4	punct		
											
работил	rabotil	raboti	работи	Vmp--si	Amsn	54	1	0	root		He worked for a pastor, for a pastor and so.
кај	kaј	kaј	кај	S		54	2	4	case		
некој	nekoј	nekoј	некој	Pi-msn		54	3	4	det	indf	
поп	pop	pop	поп	Nmsny		54	4	1	obl		
,	,	,	,	Z		54	5	1	punct		
кај	kaј	kaј	кај	S		54	6	8	case		
некој	nekoј	nekoј	некој	Pi-msn		54	7	8	det	indf	
поп	pop	pop	поп	Nmsny		54	8	4	appos		
и	i	i	и	C		54	9	10	cc		
така	taka	taka	така	R		54	10	1	discourse		
											
бил	bil	e	е	Vmp--si	Amsn	55	1	2	cop		He was a servant, and then he killed the child.
момок	momok	momok	момок	Nmsny		55	2	0	root		
и	i	i	и	C		55	3	6	cc		
после	posle	posle	после	R		55	4	6	advmod		
му	mu	toј	тој	Pp3-sd		55	5	6	obl	iobj	
убил	ubil	ubie	убие	Vmp--si	Amsn	55	6	2	conj		
и	i	i	и	C		55	7	8	cc		
дете+	dete+	dete+	дете+	Nnsny		55	8	6	obj		
то	to	toј	тој	Pd-nsn		55	9	8	det	p_nom	
,	,	,	,	Z		55	10	6	punct		
											
знəчи	znəči	znači	значи	Qo		56	1	6	discourse		So, this was an educational tale that children should be obedient, to work, to not make troubles.
ова	ova	ova	ова	Pd-nsn		56	2	3	nsubj		
беше	beše	e	е	Vmii3si		56	3	6	cop		
една	edna	eden	еден	Pi-fsn		56	4	6	det	indf	
поучна	pučna	pučen	поучен	Afsn		56	5	6	amod		
прикаска	prikaska	prikaska	прикаска	Nfsnn		56	6	0	root		
дека	deka	deka	дека	C		56	7	13	mark		
деца+	deca+	dete+	дете+	Nnpny		56	8	10	nsubj		
та	ta	toј	тој	Pd--pn		56	9	8	det	p_nom	
треба	treba	treba	треба	Vaip3si		56	10	12	aux		
да	da	da	да	C		56	11	12	fixed	inf	
бидат	bidat	bide	биде	Vmip3pe		56	12	13	cop		
послушни	poslušni	poslušen	послушен	A-pn		56	13	6	conj		
да	da	da	да	C		56	14	15	fixed	inf	
работат	rabotat	raboti	работи	Vmip3pi		56	15	13	xcomp		
,	,	,	,	Z		56	16	15	punct		
да	da	da	да	C		56	17	19	fixed	inf	
не	ne	ne	не	Qz		56	18	19	advmod		
прат	prat	pravi	прави	Vmip3pi		56	19	15	xcomp		
бељи	belji	belja	беља	Nfpnn		56	20	19	obj		
.	.	.	.	Z		56	21	19	punct		
											
да	da	da	да	C		57	1	2	fixed	inf	
бидат	bidat	bide	биде	Vmip3pe		57	2	3	cop		
послушни	poslušni	poslušen	послушен	A-pn		57	3	0	root		
.	.	.	.	Z		57	4	3	punct		
											
друго	drugo	drugo	друго	R		58	1	6	advmod		I don't know what else to say.
не	ne	ne	не	Qz		58	2	3	advmod		
знам	znam	znae	знае	Vmip1si		58	3	0	root		
шо	šo	što	што	Pq		58	4	6	mark		
да	da	da	да	C		58	5	6	fixed	inf	
кажам	kažam	kaže	каже	Vmip1se		58	6	3	xcomp		
.	.	.	.	Z		58	7	6	punct		
											
не	ne	ne	не	Qz		59	1	2	advmod		I don't know, I can't remember about the lake.
знам	znam	znae	знае	Vmip1si		59	2	0	root		
,	,	,	,	Z		59	3	2	punct		
не	ne	ne	не	Qz		59	4	5	advmod		
можа	moža	može	може	Vaip1si		59	5	8	aux		
да	da	da	да	C		59	6	8	fixed	inf	
се	se	se	се	Px---a		59	7	8	expl		
сета	seta	seti	сети	Vmip1si		59	8	2	xcomp		
за	za	za	за	S		59	9	10	case		
езеро+	ezero+	ezero+	езеро+	Nnsnn		59	10	8	obl		
то	to	toј	тој	Pd-nsn		59	11	10	det	p_nom	
,	,	,	,	Z		59	12	8	punct		
											
не	ne	ne	не	Qz		60	1	2	advmod		We haven't talked much, and you know?
сме	sme	e	е	Vaip1pi		60	2	3	aux		
зборвеле	zborvele	zboruva	зборува	Vmp--pi	A-pn	60	3	0	root		
баш	baš	baš	баш	Q		60	4	5	advmod		
многу	mnogu	mnogu	многу	R		60	5	3	advmod		
,	,	,	,	Z		60	6	3	punct		
а	a	a	а	C		60	7	9	cc		
ти	ti	ti	ти	Pp2-sn		60	8	9	nsubj		
знаеш	znaeš	znae	знае	Vmip2si		60	9	3	conj		
?	?	?	?	Z		60	10	9	punct		
											
таму	tamu	tamu	таму	R		61	1	2	advmod		You know there is Galichica.
знаете	znaete	znae	знае	Vmip3pi		61	2	0	root		
дека	deka	deka	дека	C		61	3	5	mark		
е	e	e	е	Vmip3si		61	4	5	cop		
галичица	galičica	Galičica	Галичица	Nfsnn		61	5	2	advcl		
,	,	,	,	Z		61	6	5	punct		
											
и	i	i	и	C		62	1	2	cc		And they say that the Lake Prespa is connected with the Lake Ohrid through a cave and there is a legend that a very poor fisherman was in a village by the lake, he had many children, big familly.
кажуваат	kažuvaat	kažuva	кажува	Vmip3pi		62	2	0	root		
дека	deka	deka	дека	C		62	3	8	mark		
преспанско+	prespansko+	Prespansko+	Преспанско+	Ansn		62	4	6	amod		
то	to	toј	тој	Pd-nsn		62	5	4	det	p_nom	
езеро	ezero	ezero	езеро	Nnsnn		62	6	8	nsubj		
е	e	e	е	Vmip3si		62	7	8	cop		
поврзано	povrzano	povrzan	поврзан	Ansn		62	8	2	advcl		
со	so	so	со	S		62	9	10	case		
охридско+	oxridsko+	Oxridsko+	Охридско+	Nnsnn		62	10	8	obl		
то	to	toј	тој	Pd-nsn		62	11	10	det	p_nom	
преку	preku	preku	преку	S		62	12	14	case		
некоја	nekoјa	nekoј	некој	Pi-fsn		62	13	14	det		
пештера	peštera	peštera	пештера	Nfsnn		62	14	8	obl		
											
и	i	i	и	C		63	1	2	cc		And there is a legend that one very poor fisherman was in a village along the Lake Ohrid, he had many children, big family.
има	ima	ima	има	Vmip3si		63	2	0	root		
легенда	legenda	legenda	легенда	Nfsnn		63	3	2	obj		
дека	deka	deka	дека	C		63	4	5	mark		
бил	bil	e	е	Vmp--si	Amsn	63	5	2	advcl		
во	vo	vo	во	S		63	6	8	case		
едно	edno	eden	еден	Pi-nsn		63	7	8	det		
село	selo	selo	село	Nnsnn		63	8	5	obl		
покрај	pokraј	pokraј	покрај	S		63	9	10	case		
охридско+	oxridsko+	Oxridsko+	Охридско+	Nnsnn		63	10	8	nmod		
то	to	toј	тој	Pd-nsn		63	11	10	det	p_nom	
еден	eden	eden	еден	Pi-msn		63	12	13	det		
рибар	ribar	ribar	рибар	Nmsny		63	13	5	nsubj		
многу	mnogu	mnogu	многу	R		63	14	13	amod	p_nom	
сиромашен	siromašen	siromašen	сиромашен	Amsn		63	15	13	amod	p_nom	
имал	imal	ima	има	Vmp--si	Amsn	63	16	5	xcomp		
многу	mnogu	mnogu	многу	R		63	17	18	amod		
деца	deca	dete	дете	Nnpnn		63	18	16	obj		
голема	golema	golem	голем	Afsn		63	19	20	amod		
фамилија	familiјa	familiјa	фамилија	Nfsnn		63	20	18	nmod		
.	.	.	.	Z		63	21	16	punct		
											
тој	toј	toј	тој	Pp3msn		64	1	4	csubj		Because he took sheep and the boss killed the child.
дека	deka	deka	дека	C		64	2	4	mark		
му	mu	toј	тој	Pp3msd		64	3	4	obl	iobj	
земаше	zemaše	zema	зема	Vmii3si		64	4	10	advcl		
овци	ovci	ovca	овца	Nfpnn		64	5	4	obj		
и	i	i	и	C		64	6	10	cc		
газда+	gazda+	gazda+	газда+	Nmsny		64	7	10	nsubj		
та	ta	toј	тој	Pd-msn		64	8	7	det	p_nom	
го	go	toј	тој	Pp3msa		64	9	10	expl		
уби	ubi	ubie	убие	Vmia3se		64	10	0	root		
дете+	dete+	dete+	дете+	Nnsny		64	11	10	obj		
то	to	toј	тој	Pd-nsn		64	12	11	det	p_nom	
.	.	.	.	Z		64	13	10	punct		
											
и	i	i	и	C		65	1	4	cc		And he came in the Lake Ohrid through the canal.
то	to	toa	тоа	Pp3nsn		65	2	4	nsubj		
му	mu	toј	тој	Pp3nsd		65	3	4	obl	iobj	
дојде	doјde	doјde	дојде	Vmia3se		65	4	0	root		
во	vo	vo	во	S		65	5	6	case		
охридско+	oxridsko+	Oxridsko+	Охридско+	Ansn		65	6	8	amod		
то	to	toј	тој	Pd-nsn		65	7	6	det	p_nom	
езеро	ezero	ezero	езеро	Nnsnn		65	8	4	obl		
преку	preku	preku	преку	S		65	9	10	case		
канал+	kanal+	kanal+	канал+	Nmsnn		65	10	4	obl		
от	ot	toј	тој	Pd-msn		65	11	10	det	p_nom	
.	.	.	.	Z							
											
немам	nemam	nema	нема	Vmip1si		66	1	2	cop		I haven't heard of this.
слушнато	slušnato	slušne	слушне	Vmp--se	Ansn	66	2	0	root		
за	za	za	за	S		66	3	4	case		
ова	ova	ova	ова	Pd-nsn		66	4	2	obl		
.	.	.	.	Z		66	5	2	punct		
											
многу	mnogu	mnogu	многу	R		67	1	2	amod		Very interesting.
интересно	interesno	interesen	интересен	Ansn		67	2	0	root		
.	.	.	.	Z		67	3	2	punct		
											
а	a	a	а	C		68	1	4	cc		And I have heard, but I don't know how to tell completely about Prespana, she was a girl, Prespana.
јас	јas	јas	јас	Pp1-sn		68	2	3	nsubj		
имам	imam	ima	има	Vmip1si		68	3	4	cop		
слушнато	slušnato	slušne	слушне	Vmp--se	Ansn	68	4	0	root		
ама	ama	ama	ама	C		68	5	7	cc		
не	ne	ne	не	Qz		68	6	7	advmod		
знам	znam	znae	знае	Vaip1si		68	7	10	aux		
целосно	celosno	celosno	целосно	R		68	8	10	advmod		
да	da	da	да	C		68	9	10	fixed	inf	
раскажам	raskažam	raskaže	раскаже	Vmip1se		68	10	4	xcomp		
за	za	za	за	S		68	11	12	case		
преспана	prespana	Prespana	Преспана	Nfsny		68	12	10	obl		
мома	moma	moma	мома	Nfsny		68	13	15	nsubj		
некоја	nekoјa	nekoј	некој	Pi-fsn		68	14	13	det	indf	
била	bila	e	е	Vmp-3si	Afsn	68	15	10	conj		
,	,	,	,	Z		68	16	15	punct		
преспана	prespana	Prespana	Преспана	Nfsny		68	17	13	appos		
.	.	.	.	Z		68	18	17	punct		
											
да	da	da	да	Q		69	1	7	discourse		Yes, yes, and that's why she carries the name Prespa, Lake Prespa.
да	da	da	да	Q		69	2	1	conj		
,	,	,	,	Z		69	3	1	punct		
и	i	i	и	C		69	4	7	cc		
зато	zato	zatoa	затоа	R		69	5	7	advmod		
го	go	toј	тој	Pp3nsa		69	6	7	expl		
носит	nosit	nosi	носи	Vmip3si		69	7	0	root		
име+	ime+	ime+	име+	Nnsnn		69	8	7	obj		
то	to	toј	тој	Pd-nsn		69	9	8	det	p_nom	
преспа	prespa	Prespa	Преспа	Nfsny		69	10	8	flat		
,	,	,	,	Z		69	11	7	punct		
преспанско	prespansko	Prespansko	Преспанско	Ansn		69	12	13	amod		
езеро	ezero	ezero	езеро	Nnsnn		69	13	10	nmod		
.	.	.	.	Z		69	14	13	punct		
											
сакале	sakale	saka	сака	Vap--pi	A-pn	70	1	4	aux		They wanted to marry her, to marry her for someone, I don't know, some man, a boy, young man that she didn't want, she didn't want to marry him.
да	da	da	да	C		70	2	4	fixed	inf	
ја	јa	taa	таа	Pp3fsa		70	3	4	obj		
мажат	mažat	maži	мажи	Vmip3pi		70	4	0	root		
,	,	,	,	Z		70	5	4	punct		
да	da	da	да	C		70	6	8	fixed	inf	
ја	јa	taa	таа	Pp3fsa		70	7	8	obj		
мажет	mažet	maži	мажи	Vmip3pi		70	8	4	xcomp		
за	za	za	за	S		70	9	10	case		
некој	nekoј	nekoј	некој	Pi-msn		70	10	8	obl		
не	ne	ne	не	Qz		70	11	12	advmod		
знам	znam	znae	знае	Vmip1si		70	12	8	xcomp		
некој	nekoј	nekoј	некој	Pi-msn		70	13	14	det	indf	
човек	čovek	čovek	човек	Nmsny		70	14	10	nmod		
,	,	,	,	Z		70	15	14	punct		
дечко	dečko	dečko	дечко	Nmsny		70	16	14	nmod		
младич	mladič	mladič	младич	Nmsny		70	17	16	appos		
шо	šo	što	што	Pr		70	18	21	mark		
не	ne	ne	не	Qz		70	19	21	advmod		
го	go	toј	тој	Pp3msa		70	20	21	expl		
сакала	sakala	saka	сака	Vmp--si	Afsn	70	21	12	advcl		
таја	taјa	taa	таа	Pp3fsn		70	22	21	nsubj		
,	,	,	,	Z		70	23	21	punct		
не	ne	ne	не	Qz		70	24	26	advmod		
го	go	toј	тој	Pp3msa		70	25	26	expl		
сакала	sakala	saka	сака	Vmp--si	Afsn	70	26	30	aux		
него	nego	toј	тој	Pp3msa		70	27	30	obj		
да	da	da	да	C		70	28	30	fixed	inf	
го	go	toј	тој	Pp3msa		70	29	30	expl		
земит	zemit	zeme	земе	Vmip3se		70	30	21	xcomp		
											
и	i	i	и	C		71	1	3	cc		And then I think that she killed herself and they found her dead.
после	posle	posle	после	R		71	2	3	advmod		
мислам	mislam	misli	мисли	Vmip1si		71	3	0	root		
дека	deka	deka	дека	C		71	4	6	mark		
се	se	se	се	Px---a		71	5	6	expl		
убила	ubila	ubie	убие	Vmp--si	Afsn	71	6	3	advcl		
и	i	i	и	C		71	7	9	cc		
ја	јa	taa	таа	Pp3fsa		71	8	9	obj		
нашле	našle	naјde	најде	Vmp--pe	A-pn	71	9	6	xcomp		
убијана	ubiјana	ubien	убиен	Afsn		71	10	8	amod		
											
почнало	počnalo	počne	почне	Vmp--se	Ansn	72	1	3	aux		Water started springing up and that's how the Lake Prespa was created, after the girl Prespana.
да	da	da	да	C		72	2	3	fixed	inf	
извират	izvirat	izvira	извира	Vmip3si		72	3	0	root		
вода	voda	voda	вода	Nfsnn		72	4	1	nsubj		
и	i	i	и	C		72	5	6	cc		
така	taka	taka	така	R		72	6	8	advmod		
се	se	se	се	Px---a		72	7	8	expl		
створило	stvorilo	stvori	створи	Vmp--se	Ansn	72	8	3	conj		
преспанско+	prespansko+	Prespansko+	Преспанско+	Ansn		72	9	11	amod		
то	to	toј	тој	Pd-nsn		72	10	9	det	p_nom	
езеро	ezero	ezero	езеро	Nnsnn		72	11	8	nsubj		
,	,	,	,	Z		72	12	8	punct		
по	po	po	по	S		72	13	14	case		
мома+	moma+	moma+	мома+	Nfsny		72	14	11	nmod		
та	ta	toј	тој	Pd-fsn		72	15	14	det	p_nom	
преспана	prespana	Prespana	Преспана	Nfsny		72	16	14	flat		
.	.	.	.	Z		72	17	14	punct		
											
така	taka	taka	така	R		73	1	2	amod		I have heard something similar.
нешто	nešto	nešto	нешто	Pi--sn		73	2	3	det	indf	
слично	slično	slično	слично	R		73	3	5	advmod		
имам	imam	ima	има	Vmip1si		73	4	5	cop		
слушнато	slušnato	slušne	слушне	Vmp--se	Ansn	73	5	0	root		
.	.	.	.	Z		73	6	5	punct		
											
и	i	i	и	C		74	1	2	cc		And else, what else to say.
друго	drugo	drugo	друго	R		74	2	5	advmod		
шо	šo	što	што	Pr		74	3	5	mark		
да	da	da	да	C		74	4	5	fixed	inf	
кажам	kažam	kaže	каже	Vmip1se		74	5	0	root		
друго	drugo	drugo	друго	R		74	6	5	advmod		
.	.	.	.	Z		74	7	5	punct		
											
да	da	da	да	Q		75	1	3	discourse		Yes, from the past.
од	od	od	од	S		75	2	3	case		
минато+	minato+	minato+	минато+	Nnsnn		75	3	0	root		
то	to	toј	тој	Pd-nsn		75	4	3	det	p_nom	
.	.	.	.	Z		75	5	3	punct		
											
убави	ubavi	ubav	убав	A-pn		76	1	0	root		I also liked the student days.
ми	mi	јas	јас	Pp1-sd		76	2	1	obl	iobj	
беа	bea	e	е	Vmii1pi		76	3	1	cop		
и	i	i	и	C		76	4	5	cc		
студентски+	studentski+	studentski+	студентски+	A-pn		76	5	7	amod		
те	te	toј	тој	Pd--pn		76	6	5	det	p_nom	
денови	denovi	den	ден	Nmpnn		76	7	1	nsubj		
исто	isto	isto	исто	R		76	8	1	advmod		
,	,	,	,	Z		76	9	1	punct		
											
во	vo	vo	во	S		77	1	2	case		I studied in Skopje and the friendhsip there was nice, nice friendship with collegues and female collegues and so.
скопје	skopјe	Skopјe	Скопје	Nmsnn		77	2	3	obl		
студирав	studirav	studira	студира	Vmii1si		77	3	0	root		
и	i	i	и	C		77	4	5	cc		
таму	tamu	tamu	таму	R		77	5	10	advmod		
дружба+	družba+	družba+	дружба+	Nfsnn		77	6	10	nsubj		
та	ta	toј	тој	Pd-fsn		77	7	6	det	p_nom	
ни	ni	nie	ние	Pp1-pd		77	8	10	obl	iobj	
беше	beše	e	е	Vmii3si		77	9	10	cop		
убава	ubava	ubav	убав	Afsn		77	10	3	conj		
,	,	,	,	Z		77	11	10	punct		
уба	uba	ubav	убав	Afsn		77	12	13	amod		
дружба	družba	družba	дружба	Nfsnn		77	13	6	appos		
со	so	so	со	S		77	14	15	case		
колеги	kolegi	kolega	колега	Nmpnn		77	15	13	nmod		
со	so	so	со	S		77	16	17	case		
колешки	koleški	koleška	колешка	Nfpnn		77	17	15	conj		
така	taka	taka	така	R		77	18	10	discourse		
,	,	,	,	Z		77	19	13	punct		
											I was really.
многу	mnogu	mnogu	многу	R		78	1	2	advmod		
бев	bev	e	е	Vmii1si		78	2	0	root		
.	.	.	.	Z		78	3	2	punct		
											
многу	mnogu	mnogu	многу	R		79	1	2	advmod		The people then, we were much more fullfilled, we had little but we were fullfilled.
бевме	bevme	e	е	Vmii1pi		79	2	7	cop		
тогаш	togaš	togaš	тогаш	R		79	3	2	advmod		
луѓето	luѓeto	čovek+	човек+	Nmpny		79	4	2	nsubj		
то	to	toј	тој	Pd-pn		79	5	4	det	p_nom	
по+	po+	po+	по+	Qc		79	6	7	amod		
задоволни	zadovolni	zadovolen	задоволен	A-pn		79	7	0	root		
,	,	,	,	Z		79	8	7	punct		
малку	malku	malku	малку	R		79	9	10	advmod		
имавме	imavme	ima	има	Vmii1pi		79	10	7	xcomp		
ама	ama	ama	ама	C		79	11	13	cc		
бевме	bevme	e	е	Vmii1pi		79	12	13	cop		
задоволни	zadovolni	zadovolen	задоволен	A-pn		79	13	10	xcomp		
.	.	.	.	Z		79	14	13	punct		
											
не	ne	ne	не	Qz		80	1	5	discourse		No, we always spoke Macedonian.
,	,	,	,	Z		80	2	1	punct		
ние	nie	nie	ние	Pp1-pn		80	3	5	nsubj		
си	si	si	си	Px---d		80	4	5	expl		
зборвевме	zborvevme	zboruva	зборува	Vmii1pi		80	5	0	root		
секогаш	sekogaš	sekogaš	секогаш	R		80	6	5	advmod		
македонски	makedonski	makedonski	македонски	Amsn		80	7	5	obj		
.	.	.	.	Z		80	8	5	punct		
											
во	vo	vo	во	S		81	1	2	case		At school we learned Serbo-croatian, we learned because it was Yugoslavia then, a Federation.
школо	školo	školo	школо	Nnsnn		81	2	3	obl		
учевме	učevme	uči	учи	Vmii1pi		81	3	0	root		
српско-хрватски	srpsko-xrvatski	srpsko-xrvatski	српско-хрватски	Amsn		81	4	3	obj		
,	,	,	,	Z		81	5	3	punct		
учевме	učevme	uči	учи	Vmii1pi		81	6	3	xcomp		
зошто	zošto	zašto	зашто	C		81	7	9	mark		
беше	beše	e	е	Vmii3si		81	8	9	cop		
југославија	јugoslaviјa	Јugoslaviјa	Југославија	Nfsnn		81	9	6	advcl		
тогашна	togašna	togašen	тогашен	Afsn		81	10	9	amod		
,	,	,	,	Z		81	11	9	punct		
федерација	federaciјa	federaciјa	федерација	Nfsnn		81	12	9	nmod		
.	.	.	.	Z		81	13	12	punct		
											
англиски	angliski	angliski	англиски	Nmsnn		82	1	3	obj		We didn't learn English, we learned French.
не	ne	ne	не	Qz		82	2	3	advmod		
учевме	učevme	uči	учи	Vmii1pi		82	3	0	root		
,	,	,	,	Z		82	4	3	punct		
учевме	učevme	uči	учи	Vmii1pi		82	5	3	xcomp		
француски	francuski	francuski	француски	Nmsnn		82	6	5	obj		
.	.	.	.	Z		82	7	5	punct		
											
англиски	angliski	angliski	англиски	Nmsnn		83	1	2	obj		English were studying there, in the bigger towns.
учеја	učeјa	uči	учи	Vmii3pi		83	2	0	root		
ваму	vamu	vamu	ваму	R		83	3	2	advmod		
во	vo	vo	во	S		83	4	5	case		
по+	po+	po+	по+	Qc		83	5	6	amod		
големи+	golemi+	golem+	голем+	A-pn		83	6	8	amod		
ве	ve	ovie	овие	Pd--pn		83	7	6	det	p_nom	
градови	gradovi	grad	град	Nmsnn		83	8	2	obl		
.	.	.	.	Z		83	9	2	punct		
											
јас	јas	јas	јас	Pp1-sn		84	1	3	nsubj		I really wanted to learn English, but we didn't learn here, there were no teachers.
баш	baš	baš	баш	Q		84	2	3	advmod		
сакав	sakav	saka	сака	Vaii1si		84	3	5	aux		
да	da	da	да	C		84	4	5	fixed	inf	
учам	učam	uči	учи	Vmip1si		84	5	0	root		
англиски	angliski	angliski	англиски	Nmsnn		84	6	5	obj		
ама	ama	ama	ама	C		84	7	9	cc		
не	ne	ne	не	Qz		84	8	9	advmod		
учевме	učevme	uči	учи	Vmii1pi		84	9	5	xcomp		
овде	ovde	ovde	овде	R		84	10	9	advmod		
немаше	nemaše	nema	нема	Vmii3si		84	11	9	xcomp		
учители	učiteli	učitel	учител	Nmpny		84	12	11	obj		
.	.	.	.	Z		84	13	11	punct		
											
да	da	da	да	Q		85	1	5	discourse		Yes, I didn't learn who knows how much, but something like that I understand French.
,	,	,	,	Z		85	2	2	punct		
не	ne	ne	не	Qz		85	3	5	advmod		
го	go	toј	тој	Pp3msa		85	4	5	obj		
научив	naučiv	nauči	научи	Vmia1se		85	5	0	root		
баш	baš	baš	баш	Q		85	6	5	advmod		
кузне	kuzne	koјznae	којзнае	P-----		85	7	8	advmod		
колку	kolku	kolku	колку	R		85	8	9	advmod		
многу	mnogu	mnogu	многу	R		85	9	5	advmod		
ама	ama	ama	ама	C		85	10	14	cc		
о	o	o	о			85	11				
нешто	nešto	nešto	нешто	Pi--sn		85	12	13	det	indf	
така	taka	taka	така	R		85	13	14	advmod		
разбирам	razbiram	razbira	разбира	Vmip1si		85	14	5	xcomp		
француски	francuski	francuski	француски	Nmsnn		85	15	14	obj		
.	.	.	.	Z		85	16	14	punct		
											
сеа	sea	sega	сега	R		86	1	3	advmod		Now I don't know what else to say, I can't remember.
не	ne	ne	не	Qz		86	2	3	advmod		
знам	znam	znae	знае	Vmip1si		86	3	0	root		
шо	šo	što	што	Pr		86	4	6	mark		
да	da	da	да	C		86	5	6	fixed	inf	
кажам	kažam	kaže	каже	Vmip1se		86	6	3	advcl		
друго	drugo	drugo	друго	R		86	7	6	advmod		
не	ne	ne	не	Qz		86	8	9	advmod		
можам	možam	može	може	Vmip1si		86	9	12	aux		
да	da	da	да	C		86	10	12	fixed	inf	
се	se	se	се	Px---a		86	11	12	expl		
сетам	setam	seti	сети	Vmip1si		86	12	6	xcomp		
											
дај	daј	dade	даде	Vmm-2se		87	1	0	root		Give me an idea.
ми	mi	јas	јас	Pp1-sd		87	2	1	obl	iobj	
некоја	nekoјa	nekoј	некој	Pi-fsn		87	3	4	det	indf	
идеја	ideјa	ideјa	идеја	Nfsnn		87	4	1	obj		
.	.	.	.	Z		87	5	1	punct		
											
да	da	da	да	Q		88	1	8	discourse		Yes, yes, like nowadays, except now there aren't such big friendships.
да	da	da	да	Q		88	2	2	conj		
како	kako	kako	како	S		88	3	4	case		
денес	denes	denes	денес	R		88	4	7	appos		
,	,	,	,	Z		88	5	4	punct		
само	samo	samo	само	C		88	6	8	mark		
сега	sega	sega	сега	R		88	7	8	advmod		
нема	nema	nema	нема	Vmip3si		88	8	0	root		
некоја	nekoјa	nekoј	некој	Pi-fsn		88	9	11	det	indf	
голема	golema	golem	голем	Afsn		88	10	11	amod		
дружба	družba	družba	дружба	Nfsnn		88	11	8	obj		
,	,	,	,	Z		88	12	8	punct		
											
ние	nie	јas	јас	Pp1-pn		89	1	7	nsubj		We, the children, hang out a lot then, we played different games.
деца+	deca+	dete+	дете+	Nnpny		89	2	1	appos		
та	ta	toј	тој	Pd--pn		89	3	2	det	p_nom	
тогаш	togaš	togaš	тогаш	R		89	4	7	advmod		
многу	mnogu	mnogu	многу	R		89	5	7	advmod		
се	se	se	се	Px---a		89	6	7	expl		
дружевме	druževme	druži	дружи	Vmii1pi		89	7	0	root		
,	,	,	,	Z		89	8	7	punct		
игравме	igravme	igra	игра	Vmii1pi		89	9	7	xcomp		
разни	razni	razen	разен	A-pn		89	10	11	amod		
игри	igri	igra	игра	Nfpnn		89	11	9	obj		
											
се	se	se	се	Px---a		90	1	2	expl		Everyone hang out, no one was angry or to start fighting or beating, no. 
дружевме	druževme	druži	дружи	Vmii1pi		90	2	0	root		
сите	site	siot	сиот	Pi--pn		90	3	2	nsubj		
никој	nikoј	nikoј	никој	Pz		90	4	7	nsubj		
не	ne	ne	не	Qz		90	5	7	advmod		
се	se	se	се	Px---a		90	6	7	expl		
лутеше	luteše	luti	лути	Vmii3si		90	7	2	conj		
или	ili	ili	или	C		90	8	10	cc		
да	da	da	да	C		90	9	10	fixed	inf	
земиме	zemime	zeme	земе	Vaip1pi		90	10	13	aux		
да	da	da	да	C		90	11	13	fixed	inf	
се	se	se	се	Px---a		90	12	13	expl		
караме	karame	kara	кара	Vmip1pi		90	13	7	xcomp		
да	da	da	да	C		90	14	16	fixed	inf	
се	se	se	се	Px---a		90	15	16	expl		
бијаме	biјame	bie	бие	Vmip1pi		90	16	13	xcomp		
не	ne	ne	не	Qz		90	17	16	advmod		
.	.	.	.	Z		90	18	16	punct		
											
сега	sega	sega	сега	R		91	1	5	advmod		Now the children sit with the parents, there isn't much friendship.
деца+	deca+	dete+	дете+	Nnpny		91	2	5	nsubj		
та	ta	toј	тој	Pd--pn		91	3	2	det	p_nom	
си	si	si	си	Px---d		91	4	5	expl		
седат	sedat	sedi	седи	Vmip3pi		91	5	0	root		
покрај	pokraј	pokraј	покрај	S		91	6	7	case		
родители+	roditeli+	roditel+	родител+	Nmpny		91	7	5	obl		
те	te	toј	тој	Pd--pn		91	8	7	det	p_nom	
,	,	,	,	Z		91	9	5	punct		
нема	nema	nema	нема	Vmip3si		91	10	5	xcomp		
толку	tolku	tolku	толку	R		91	11	12	amod		
дружба	družba	družba	дружба	Nfsnn		91	12	10	obj		
,	,	,	,	Z		91	13	10	punct		
											
можда	možda	možebi	можеби	Qo		92	1	2	discourse		Maybe there is friendship in the schools, when they are going to school, but in the free time we hang out the same, the children.
имат	imat	ima	има	Vmip3si		92	2	0	root		
во	vo	vo	во	S		92	3	4	case		
училишта+	učilišta+	učilište+	училиште+	Nnpnn		92	4	2	obl		
та	ta	toј	тој	Pd--pn		92	5	4	det	p_nom	
дружба	družba	družba	дружба	Nfsnn		92	6	2	obj		
,	,	,	,	Z		92	7	2	punct		
ко	ko	koga	кога	C		92	8	10	mark		
ќе	ќe	ќe	ќе	Vaip		92	9	10	aux	hab	
одат	odat	odi	оди	Vmip3si		92	10	2	advcl		
на	na	na	на	S		92	11	12	case		
училиште	učilište	učilište	училиште	Nnsnn		92	12	10	obl		
,	,	,	,	Z		92	13	10	punct		
ама	ama	ama	ама	C		92	14	21	cc		
во	vo	vo	во	S		92	15	16	case		
слободно+	slobodno+	sloboden+	слободен+	Ansn		92	16	18	amod		
то	to	toј	тој	Pd-nsn		92	17	16	det	p_nom	
време	vreme	vreme	време	Nnsnn		92	18	21	obl		
ние	nie	јas	јас	Pp1-pn		92	19	21	nsubj		
се	se	se	се	Px---a		92	20	21	expl		
дружевме	druževme	druži	дружи	Vmii1pi		92	21	10	conj		
